City,Price,Day,Room Type,Shared Room,Private Room,Person Capacity,Superhost,Multiple Rooms,Business,Cleanliness Rating,Guest Satisfaction,Bedrooms,City Center (km),Metro Distance (km),Attraction Index,Normalised Attraction Index,Restraunt Index,Normalised Restraunt Index
Paris,252.58644794482245,Weekday,Entire home/apt,False,False,3.0,False,0,0,9.0,93.0,1,4.29341326928006,0.251420525936086,198.98425333749904,9.686486398713225,457.46494934970207,26.88042857032364
Paris,134.4486904650946,Weekday,Private room,False,True,2.0,False,0,0,10.0,93.0,1,3.225183991221244,0.1619588359088749,214.55226055971085,10.444331744180092,545.3259661584055,32.0431012292883
Paris,195.4981824960388,Weekday,Entire home/apt,False,False,2.0,False,0,0,9.0,94.0,1,3.148156346035795,0.1482344013376293,287.7732413006711,14.008704412628292,672.005446409831,39.48672882319411
Paris,261.90698107931775,Weekday,Entire home/apt,False,False,2.0,False,0,1,7.0,76.0,0,4.39489396456744,0.3584613574785303,180.1659964551583,8.770419995061102,438.45331470558057,25.763313722983195
Paris,381.67583185758224,Weekday,Private room,False,True,3.0,True,1,0,10.0,100.0,1,2.3057161048815966,0.1947807979083453,260.4032254909286,12.676341266163806,688.6164716713878,40.462784974944846
Paris,415.9287911268525,Weekday,Entire home/apt,False,False,4.0,False,1,0,8.0,83.0,1,3.3417931123494693,0.0668871416287435,209.011565807036,10.174612590724385,523.8009541805603,30.77830149377124
Paris,259.57684779569394,Weekday,Entire home/apt,False,False,2.0,False,0,0,10.0,100.0,1,3.735300717769617,0.3576212549049453,187.27577232548884,9.116521488575,446.30483207553766,26.224665247579345
Paris,428.7445241867835,Weekday,Entire home/apt,False,False,4.0,False,0,1,9.0,97.0,2,3.012953460845312,0.2220050224611253,429.2407703964261,20.89529605725145,1024.0877817233184,60.17492379577162
Paris,301.2862335725604,Weekday,Entire home/apt,False,False,2.0,False,1,0,9.0,97.0,0,3.650557249327961,0.2868841307229586,287.3042833823291,13.985875699192944,624.471481222197,36.693655041898346
Paris,312.7038866623171,Weekday,Entire home/apt,False,False,3.0,True,0,0,10.0,100.0,1,3.6896652487427417,0.1814533046516828,196.540501049434,9.567525360826384,475.87555975602993,27.96222751178756
Paris,312.7038866623171,Weekday,Entire home/apt,False,False,5.0,False,0,0,10.0,100.0,2,2.7609416684701333,0.3051472393006225,237.96820383561297,11.584211972141436,611.1105448849108,35.90857261021129
Paris,441.5602572467145,Weekday,Entire home/apt,False,False,5.0,False,0,0,10.0,85.0,3,3.6257028209436393,0.3063196681592649,229.03112644720431,11.149158056491952,539.7251172483147,31.713997941102207
Paris,237.4405816012676,Weekday,Entire home/apt,False,False,2.0,True,0,0,10.0,97.0,1,3.085555621643785,0.2707067966974481,237.86770848559848,11.579319892367677,563.6373533358537,33.11906985977384
Paris,428.7445241867835,Weekday,Entire home/apt,False,False,6.0,True,1,0,10.0,100.0,2,4.504681174957584,0.2604509627134433,167.5652670210861,8.157020732406968,389.4809405893853,22.88571969917689
Paris,228.81908845185944,Weekday,Private room,False,True,2.0,False,0,0,9.0,94.0,1,2.8264874646916582,0.3700470308090304,242.65763940061368,11.81249211519867,606.5146841000017,35.63852195884768
Paris,200.3914623916488,Weekday,Private room,False,True,2.0,False,0,0,9.0,90.0,1,2.972797626753096,0.1561163415690884,218.07961600832576,10.616042218769673,545.6707933878986,32.06336311760273
Paris,160.54618324168143,Weekday,Entire home/apt,False,False,2.0,False,0,1,9.0,92.0,1,5.197928833384133,0.342795575804201,157.62100452062427,7.672937384904188,354.31817538690456,20.819571899866897
Paris,289.6355671544412,Weekday,Private room,False,True,2.0,True,0,0,10.0,100.0,1,3.484774213154371,0.1910820347776088,189.5170779205717,9.225627489667998,487.45766490912257,28.64278664687376
Paris,322.2574331251748,Weekday,Entire home/apt,False,False,4.0,False,0,0,10.0,98.0,1,3.778958903879453,0.1663309329791251,195.93791631813733,9.538191739165995,471.6100372926551,27.7115873872166
Paris,287.3054338708174,Weekday,Private room,False,True,2.0,False,0,1,10.0,100.0,1,2.8802813384101587,0.1864996435949646,232.33728949693915,11.310100959641511,598.3183046029611,35.156906495370855
Paris,172.8958896448877,Weekday,Entire home/apt,False,False,3.0,False,0,0,9.0,91.0,0,3.79545674659424,0.156146212891652,177.3022577568187,8.63101416024921,440.50569115574166,25.88391041273263
Paris,201.3235157050984,Weekday,Entire home/apt,False,False,2.0,False,0,0,8.0,80.0,0,3.4916723198399007,0.3314171414792818,234.31784766191453,11.4065138637036,558.6499594237375,32.82601290317578
Paris,127.22527728586076,Weekday,Private room,False,True,2.0,False,0,0,9.0,92.0,1,2.8898990167286187,0.1767350428371555,231.82644468986112,11.285233206577546,596.3823287573599,35.04314945123986
Paris,415.9287911268525,Weekday,Entire home/apt,False,False,4.0,False,1,0,9.0,82.0,1,3.432358565318068,0.1515150387332728,206.45306660824767,10.050065711890978,509.37772325315416,29.93079912392071
Paris,266.5672476465654,Weekday,Entire home/apt,False,False,3.0,False,0,0,10.0,100.0,1,2.9116380921688103,0.1582063834145986,231.1328463143112,11.251469071384705,596.2656790884869,35.036295170717715
Paris,182.68244943610776,Weekday,Entire home/apt,False,False,5.0,False,0,0,10.0,100.0,1,4.074200978998002,0.2482426932598464,173.1325966953178,8.428036464868622,411.1601841479682,24.15958201095297
Paris,652.4373194146706,Weekday,Entire home/apt,False,False,6.0,False,0,1,9.0,93.0,1,3.2326780009358385,0.244135681683053,212.26206891423124,10.332845986627415,511.8195310867507,30.074278621413907
Paris,243.0329014819648,Weekday,Entire home/apt,False,False,3.0,False,0,0,8.0,82.0,1,3.72324628211682,0.1122293508703232,196.5083092955544,9.565958277095508,476.9986850016103,28.028221831095006
Paris,427.5794575449716,Weekday,Entire home/apt,False,False,4.0,False,1,0,6.0,80.0,1,3.2630611326798507,0.1385559717769253,212.13686898890043,10.32675129645221,535.7321724677194,31.47937435493977
Paris,403.34607139528384,Weekday,Entire home/apt,False,False,6.0,False,0,1,9.0,93.0,1,4.0379963007161646,0.1544069846977262,174.93670402085826,8.51585980152746,416.637590409366,24.48143186626854
Paris,194.3331158542269,Weekday,Entire home/apt,False,False,4.0,False,0,0,9.0,94.0,1,4.090729952851834,0.1648417140240529,171.46727114701443,8.346968978358973,407.208211730796,23.92736594189085
Paris,260.74191443750584,Weekday,Entire home/apt,False,False,2.0,False,0,0,10.0,96.0,1,4.086045607297957,0.1038866327689958,191.44376553858453,9.319417993657256,458.71617273054176,26.95394987673628
Paris,146.5653835399385,Weekday,Entire home/apt,False,False,2.0,False,0,1,10.0,91.0,0,3.403631715034426,0.1612796108234169,203.9070098246402,9.92612452563572,504.9593904979744,29.67117993737022
Paris,218.79951533227705,Weekday,Entire home/apt,False,False,2.0,False,1,0,10.0,95.0,0,3.3685307001053304,0.3609884790487589,284.0836329149105,13.829095519734487,644.716282948493,37.883230215903794
Paris,277.75188740795977,Weekday,Entire home/apt,False,False,2.0,False,0,0,9.0,86.0,1,3.016775197780153,0.2811197161830458,221.55150113224065,10.785052416645255,559.454164773389,32.87326763709126
Paris,194.3331158542269,Weekday,Private room,False,True,2.0,True,0,0,10.0,99.0,1,3.552192559914355,0.1071806281881387,186.0111651890525,9.054960839320868,475.3279760790894,27.93005174851827
Paris,417.0938577686644,Weekday,Entire home/apt,False,False,3.0,False,1,0,9.0,90.0,2,2.647010777554126,0.1171931872001671,237.16560219272904,11.54514159462672,594.1908013118814,34.91437631344683
Paris,302.4513002143723,Weekday,Entire home/apt,False,False,2.0,False,0,0,10.0,95.0,0,2.896303744558965,0.2093866343309152,233.8079407904528,11.381691769029368,602.8652637250242,35.424083707672125
